time,concentration,condensor temp,saturator temp,optics temp,flow,ready environment,reference detector voltage,detector voltage,pump control value,1 second counts,liquid level,count_datetime,pulse counts,pulse width,good pulses,pulse conc,pulse conc nodead,precip_datetime,precip_voltage
2024-02-08 12:25:02.759388,6662.84,10.1,42.5,40.8,5.01,NOTREADY,4.976,0.029,173,5219,FULL,2024-02-08 12:25:01.759109,0.0,0,0,0.0,0.0,2024-02-08 12:25:02.745806,1967.4457550048828
2024-02-08 12:25:03.750565,6568.36,10.1,42.5,40.8,4.99,NOTREADY,4.973,0.026,174,5145,FULL,2024-02-08 12:25:02.765401,0.0,0,0,0.0,0.0,2024-02-08 12:25:03.748512,1972.690200805664
2024-02-08 12:25:04.758615,6756.03,10.1,42.5,40.8,5.03,NOTREADY,4.969,0.026,173,5292,FULL,2024-02-08 12:25:03.768558,0.0,0,0,0.0,0.0,2024-02-08 12:25:04.751515,1973.385238647461
2024-02-08 12:25:05.766717,7174.77,10.1,42.6,40.9,5.02,NOTREADY,4.995,0.027,174,5620,FULL,2024-02-08 12:25:04.767813,0.0,0,0,0.0,0.0,2024-02-08 12:25:05.754707,1969.5466995239258
2024-02-08 12:25:06.743988,6907.95,10.1,42.6,40.9,4.99,NOTREADY,4.997,0.026,173,5411,FULL,2024-02-08 12:25:05.754707,0.0,0,0,0.0,0.0,2024-02-08 12:25:06.740973,1972.9743957519531
2024-02-08 12:25:07.751595,6988.38,10.1,42.6,40.9,5.00,NOTREADY,5.011,0.027,174,5474,FULL,2024-02-08 12:25:06.756029,0.0,0,0,0.0,0.0,2024-02-08 12:25:07.743365,1973.8117218017578
2024-02-08 12:25:08.744047,6899.02,10.1,42.7,40.9,5.02,NOTREADY,5.021,0.027,173,5404,FULL,2024-02-08 12:25:07.755661,0.0,0,0,0.0,0.0,2024-02-08 12:25:08.746272,1973.6852645874023
2024-02-08 12:25:09.752296,6967.96,10.1,42.7,40.9,4.99,NOTREADY,5.028,0.027,174,5458,FULL,2024-02-08 12:25:08.758940,0.0,0,0,0.0,0.0,2024-02-08 12:25:09.748575,1969.0254211425781
2024-02-08 12:25:10.744169,6882.42,10.1,42.7,40.9,5.03,NOTREADY,5.018,0.026,173,5391,FULL,2024-02-08 12:25:09.758960,0.0,0,0,0.0,0.0,2024-02-08 12:25:10.751428,1979.5930862426758
2024-02-08 12:25:11.752867,7472.23,10.1,42.8,40.9,4.99,NOTREADY,4.989,0.027,174,5853,FULL,2024-02-08 12:25:10.760161,0.0,0,0,0.0,0.0,2024-02-08 12:25:11.753990,1979.7510147094727
2024-02-08 12:25:12.760500,7680.33,10.1,42.8,40.9,5.03,NOTREADY,4.982,0.027,173,6016,FULL,2024-02-08 12:25:11.760200,0.0,0,0,0.0,0.0,2024-02-08 12:25:12.740434,1977.1446228027344
2024-02-08 12:25:13.753047,7432.66,10.1,42.8,41.0,5.02,NOTREADY,4.983,0.027,174,5822,FULL,2024-02-08 12:25:12.754993,0.0,0,0,0.0,0.0,2024-02-08 12:25:13.742820,1978.5032272338867
2024-02-08 12:25:14.745385,7206.69,10.1,42.9,41.0,5.00,NOTREADY,5.006,0.027,173,5645,FULL,2024-02-08 12:25:13.757052,0.0,0,0,0.0,0.0,2024-02-08 12:25:14.745385,1981.378173828125
