time,concentration,instrument errors,saturator temp,condensor temp,optics temp,cabinet temp,ambient pressure,orifice pressure,nozzle pressure,laser current,liquid level,aersol flow,inlet flow,serial number,corrected counts,uncorrected counts,ready status
2024-02-08 12:19:03.614417,5.00E+04,0080,39.0,22.0,39.7,27.0,98.5,77.2,1.889,37,FULL (2876),1000.0,1.0,70847377,126297,121837,NOTREADY
2024-02-08 12:19:04.600741,5.00E+04,0080,39.0,22.0,39.7,27.0,98.5,77.8,1.889,37,FULL (2876),1000.0,1.0,70847377,125074,120969,NOTREADY
2024-02-08 12:19:05.602986,5.13E+04,0080,39.0,22.0,39.7,27.0,98.6,78.3,1.891,37,FULL (2876),1000.0,1.0,70847377,128963,124916,NOTREADY
2024-02-08 12:19:06.603810,5.22E+04,0080,39.0,22.0,39.8,27.0,98.5,78.7,1.889,37,FULL (2874),1000.0,1.0,70847377,129814,125326,NOTREADY
2024-02-08 12:19:07.605123,4.95E+04,0080,39.0,22.0,39.8,27.0,98.6,79.1,1.886,37,FULL (2874),1000.0,1.0,70847377,124864,120676,NOTREADY
2024-02-08 12:19:08.606900,4.73E+04,0080,39.0,22.0,39.8,27.0,98.6,79.8,1.889,37,FULL (2873),1000.0,1.0,70847377,119228,115368,NOTREADY
2024-02-08 12:19:09.610466,4.69E+04,0080,39.0,22.0,39.8,27.0,98.6,80.1,1.889,37,FULL (2872),1000.0,1.0,70847377,115720,112060,NOTREADY
2024-02-08 12:19:10.610179,4.71E+04,0080,39.0,22.0,39.9,27.0,98.6,80.4,1.889,37,FULL (2871),1000.0,1.0,70847377,117411,113992,NOTREADY
2024-02-08 12:19:11.610116,4.76E+04,0080,39.0,22.0,39.9,27.0,98.6,80.6,1.889,37,FULL (2870),1000.0,1.0,70847377,119029,115032,NOTREADY
2024-02-08 12:19:12.611098,4.73E+04,0080,39.0,22.0,39.9,27.0,98.6,80.8,1.886,37,FULL (2870),1000.0,1.0,70847377,117704,113635,NOTREADY
2024-02-08 12:19:13.611368,4.69E+04,0080,39.0,22.0,39.9,27.0,98.6,81.0,1.889,37,FULL (2869),1000.0,1.0,70847377,116443,112656,NOTREADY
2024-02-08 12:19:14.611950,4.60E+04,0080,39.0,22.0,39.9,27.0,98.6,81.1,1.889,37,FULL (2869),1000.0,1.0,70847377,116501,112894,NOTREADY
2024-02-08 12:19:15.599738,4.61E+04,0080,39.0,22.0,39.9,27.0,98.6,81.3,1.889,37,FULL (2869),1000.0,1.0,70847377,114727,111037,NOTREADY
2024-02-08 12:19:16.602180,4.59E+04,0080,39.0,22.0,40.0,27.0,98.6,81.4,1.889,37,FULL (2868),1000.0,1.0,70847377,115239,111570,NOTREADY
2024-02-08 12:19:17.603176,4.74E+04,0080,39.0,22.0,40.0,27.0,98.6,81.6,1.886,37,FULL (2868),1000.0,1.0,70847377,115389,111807,NOTREADY
2024-02-08 12:19:18.603368,4.51E+04,0080,39.0,22.0,40.0,27.0,98.6,81.6,1.886,37,FULL (2867),1000.0,1.0,70847377,113736,110187,NOTREADY
2024-02-08 12:19:19.605306,4.63E+04,0080,39.0,22.0,40.0,27.0,98.6,81.7,1.886,37,FULL (2865),1000.0,1.0,70847377,114807,111130,NOTREADY
2024-02-08 12:19:20.602449,4.55E+04,0080,39.0,22.0,40.0,27.0,98.6,81.8,1.886,37,FULL (2865),1000.0,1.0,70847377,114257,110678,NOTREADY
2024-02-08 12:19:21.604352,4.59E+04,0080,39.0,22.0,40.0,27.0,98.6,81.8,1.889,37,FULL (2864),1000.0,1.0,70847377,114057,110490,NOTREADY
2024-02-08 12:19:22.604794,4.51E+04,0080,39.0,22.0,40.0,27.0,98.6,81.9,1.889,37,FULL (2863),1000.0,1.0,70847377,113801,110248,NOTREADY
2024-02-08 12:19:23.605844,4.61E+04,0080,39.0,22.0,40.1,27.0,98.5,81.9,1.886,37,FULL (2861),1000.0,1.0,70847377,115076,111344,NOTREADY
2024-02-08 12:19:24.607028,4.69E+04,0080,39.0,22.0,40.1,27.0,98.6,82.0,1.886,37,FULL (2862),1000.0,1.0,70847377,115467,111849,NOTREADY
2024-02-08 12:19:25.608753,4.52E+04,0080,39.0,22.0,40.1,27.0,98.6,82.0,1.886,37,FULL (2861),1000.0,1.0,70847377,113774,110406,NOTREADY
2024-02-08 12:19:26.609062,4.71E+04,0080,39.0,22.0,40.2,27.0,98.6,82.1,1.886,37,FULL (2861),1000.0,1.0,70847377,116768,113041,NOTREADY
2024-02-08 12:19:27.610283,4.80E+04,0080,39.0,22.0,40.2,27.0,98.6,82.1,1.889,37,FULL (2859),1000.0,1.0,70847377,119503,115858,NOTREADY
2024-02-08 12:19:28.610152,4.82E+04,0080,39.0,22.0,40.2,27.0,98.6,82.2,1.886,37,FULL (2859),1000.0,1.0,70847377,120169,116116,NOTREADY
2024-02-08 12:19:29.599796,4.74E+04,0080,39.0,22.0,40.3,27.0,98.6,82.2,1.886,37,FULL (2859),1000.0,1.0,70847377,118015,114226,NOTREADY
2024-02-08 12:19:30.607314,4.71E+04,0080,39.0,22.0,40.3,27.0,98.6,82.2,1.886,37,FULL (2858),1000.0,1.0,70847377,116713,112928,NOTREADY
2024-02-08 12:19:31.610441,4.53E+04,0080,39.0,22.0,40.3,27.0,98.6,82.3,1.886,37,FULL (2856),1000.0,1.0,70847377,114606,111009,NOTREADY
2024-02-08 12:19:32.610622,4.47E+04,0080,39.0,22.0,40.3,27.0,98.5,82.3,1.886,37,FULL (2854),1000.0,1.0,70847377,112778,109280,NOTREADY
2024-02-08 12:19:33.610431,4.57E+04,0080,39.0,22.0,40.3,27.0,98.6,82.3,1.886,37,FULL (2856),1000.0,1.0,70847377,114281,110887,NOTREADY
2024-02-08 12:19:34.610578,4.51E+04,0080,39.0,22.0,40.4,27.0,98.5,82.3,1.889,37,FULL (2855),1000.0,1.0,70847377,114782,111179,NOTREADY
2024-02-08 12:19:35.611601,4.46E+04,0080,39.0,22.0,40.4,27.0,98.5,82.4,1.889,37,FULL (2853),1000.0,1.0,70847377,112657,109157,NOTREADY
2024-02-08 12:19:36.612032,4.59E+04,0080,39.0,22.0,40.4,27.0,98.5,82.4,1.886,37,FULL (2852),1000.0,1.0,70847377,113686,110488,NOTREADY
2024-02-08 12:19:37.596735,4.57E+04,0080,39.0,22.0,40.4,27.0,98.6,82.4,1.886,37,FULL (2852),1000.0,1.0,70847377,115575,112118,NOTREADY
2024-02-08 12:19:38.598078,4.66E+04,0080,39.0,22.0,40.4,27.0,98.6,82.4,1.886,37,FULL (2851),1000.0,1.0,70847377,116706,112891,NOTREADY
2024-02-08 12:19:39.597987,4.71E+04,0080,39.0,22.0,40.4,27.0,98.6,82.4,1.886,37,FULL (2851),1000.0,1.0,70847377,116730,113064,NOTREADY
2024-02-08 12:19:40.600345,4.57E+04,0080,39.0,22.0,40.4,27.0,98.6,82.4,1.889,37,FULL (2850),1000.0,1.0,70847377,115443,111804,NOTREADY
2024-02-08 12:19:41.600395,4.55E+04,0080,39.0,22.0,40.4,27.0,98.5,82.4,1.889,37,FULL (2849),1000.0,1.0,70847377,112699,109208,NOTREADY
